name,category,code,unit,brand,vendor,image_url,is_active,created_by,quantity,branch,description
T.HIDENSITY WHITE,TPL,2062,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
D.HIDENSITY,TPL,2063,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
USA CLEAR GEL,TPL,2064,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
L.HIDENSITY,TPL,2065,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
916 FOIL GEL,TPL,2066,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
PT TRANSFER GEL,TPL,2067,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
TPL OM HIGH DENSITY,TPL,2068,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
TPL OM HIGH DENSITY WHITE,TPL,2069,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
TPL OM HIGH DENSITY BLACK,TPL,2070,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Water-based softening agent,W/B,8100,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
High density white rubber paste (Table),W/B,BT-8010,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
High density clear rubber paste (Table),W/B,BT-8010Y,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Machine high density white rubber paste,W/B,BT-8012,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Machine high density clear rubber paste,W/B,BT-8012Y,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Stone white rubber paste,W/B,BT-8013,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Stone clear rubber paste,W/B,BT-8013Y,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Glitter paste,W/B,BT-8020A,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Anti-foil paste,W/B,BT-8030,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Anti-migration white rubber paste,W/B,FS,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
